datum,ort,meldung,status,jahr,id,lat,lon,coord_bin,region_id,timestamp,month,season,recent_sightings,days_since_last_sighting
15.06.2023,Laussa,3 tote Hühner,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,286,47.95199203491211,14.455706596374512,"(48.0, 14.5)",7,2023-06-15,6,Summer,1,30
23.06.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,287,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-06-23,6,Summer,2,8
23.06.2023,Lichtenberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,288,47.928565979003906,13.423049926757812,"(48.0, 13.5)",5,2023-06-23,6,Summer,0,39
25.06.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,289,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2023-06-25,6,Summer,1,28
26.06.2023,Gosau,Wolfssichtung,kein Fotonachweis vorhanden,2023,290,47.585105895996094,13.536215782165527,"(47.67, 13.5)",9,2023-06-26,6,Summer,1,18
03.07.2023,Walding,Wolfssichtung,kein Fotonachweis vorhanden,2023,291,48.351348876953125,14.161396980285645,"(48.33, 14.25)",8,2023-07-03,7,Summer,2,26
05.07.2023,Weyer,1 totes Kalb,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,292,47.85725784301758,14.66356086730957,"(48.0, 14.75)",7,2023-07-05,7,Summer,1,20
06.07.2023,Spital am Pyhrn,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,293,47.66461181640625,14.340187072753906,"(47.67, 14.25)",2,2023-07-06,7,Summer,0,97
06.07.2023,Molln,Übergriff auf Rinderherde,begutachtet - DNA-Analyse: Hund bestätigt,2023,294,47.88619613647461,14.257271766662598,"(48.0, 14.25)",2,2023-07-06,7,Summer,0,97
08.07.2023,Liebenau,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,295,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2023-07-08,7,Summer,1,13
10.07.2023,Molln,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,296,47.88619613647461,14.257271766662598,"(48.0, 14.25)",2,2023-07-10,7,Summer,2,4
14.07.2023,Feldkirchen bei Mattighofen,Wolfssichtung,kein Fotonachweis vorhanden,2023,297,48.06752014160156,13.044207572937012,"(48.0, 13.0)",5,2023-07-14,7,Summer,1,21
22.07.2023,St.Wolfgang,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,298,48.577335357666016,13.888190269470215,"(48.67, 14.0)",0,2023-07-22,7,Summer,0,78
27.07.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,299,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-07-27,7,Summer,0,34
28.07.2023,Lichtenberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,300,47.928565979003906,13.423049926757812,"(48.0, 13.5)",5,2023-07-28,7,Summer,1,14
